==================================================================
 Decent Sampler library extraction analysis
 source: /mnt/workspace/Free VST-s/Pianobook/Decent Sampler
 date:   pon 07 sep 2026 16:07:39 CEST
==================================================================

===== 1) archives found =====
  count: 400

===== 1b) already-extracted DS content (dslibrary/folders) =====
    .dspreset files present: 0

===== 2) per-archive: compressed size + TRUE extracted size =====
    ARCHIVE                                              COMPRESSED    EXTRACTED
    The Superstar - Complete Edition.zip                       813M        1329M  [light]
    The Terracotta Ball.zip                                     68M          68M  [light]
    The-Viking-Log-Lyre.dslibrary.zip                          113M         162M  [light]
    The Vintage Japanese Mandolin.zip                           44M          62M  [light]
    ThorsBrother.zip                                            78M          99M  [light]
    Three Strings Domra.zip                                     53M          88M  [light]
    Thru Zero E-Piano.zip                                       24M          24M  [light]
    Thunder (DS).zip                                           140M         147M  [light]
    Thunder & Wine.zip                                          37M          66M  [light]
    Tin Can Drums.zip                                           17M          35M  [light]
    Tones From The Deep.zip                                     11M          24M  [light]
    Tongue_Bottle_Glass.zip                                      8M          17M  [light]
    Toy Accordion (DS).zip                                      18M          19M  [light]
    Toy Glockenspiel for DecentSampler.zip                     690M         736M  [light]
    Toy Xylophone (DS).zip                                      20M          29M  [light]
    Trash Drums.zip                                              7M          10M  [light]
    Tribal Percussion (DS).zip                                  18M          24M  [light]
    TripleBox.zip                                                4M           5M  [light]
    TS Cat Toy Drums Free Edition [Decent Sampler].zip           9M          11M  [light]
    TS_Lofi_Vibes_Synth_V1.01 [Decent Sampler].zip             450M         450M  [light]
    Tubular-bells_Decent_Sampler.zip                            16M          22M  [light]
    Tuned_Gongs.zip                                           1185M        2626M  [light]
    Uke Swarm.zip                                               43M          57M  [light]
    Ukulele of Doom (DS).zip                                    91M         114M  [light]
    UnknownHomePianoSE.zip                                      12M          34M  [light]
    V-0002 Glitched Washed Pad.zip                             163M         186M  [light]
    V-0003 Glitched Washed Pad.zip                             212M         236M  [light]
    V-0004 Glitched Washed Pad.zip                             121M         129M  [light]
    Vinyl Player (DS).zip                                       16M          18M  [light]
    Vinyl Scratcher Lite.zip                                     5M           5M  [light]
    Violin Experiments v1_2.zip                                486M        1807M  [light]
    Voodoo Drum's of Jakmel.zip                                  8M          14M  [light]
    VSSVolcaFluteLoFiSamples.zip                                24M          62M  [light]
    Waterfall.zip                                               35M          37M  [light]
    Wet Spanish Thumb.zip                                       36M          44M  [light]
    wiedergesichts-wurli.zip                                    41M          62M  [light]
    Wild Percussion (DS).zip                                     0M           1M  [light]
    Wind Chimes.zip                                             19M          50M  [light]
    Women 4 syllables Choir.zip                                129M         154M  [light]
    Wooden Church of St. Nepomucen Free Edition (DS_EXS)        52M          55M  [light]
    Wooden Flute1.zip                                          155M         257M  [light]
    World's Biggest Braaam (DS).zip                            110M         123M  [light]
    Xylander-DistoredMemoriesOfYou.zip                          34M          34M  [light]
    YE_C55.rar                                                  53M         203M  [light]
    Yellow Bass Keyboard.zip                                    19M          28M  [light]
    Yogurt(DS).zip                                              76M          98M  [light]

    TOTALS                                                   84661M      123195M
    extracted total ~= 120 GiB

===== 3) placement plan (HEAVY -> fast NVMe/SSD, LIGHT -> SATA SSD) =====
    HEAVY (>=3GB each) count=3  total ~= 18 GiB  -> WD Black NVMe (/mnt/wd_black) or new fast SSD
    LIGHT (<3GB each)  count=397  total ~= 101 GiB  -> btrfs SATA SSD (/mnt/btrfs_disk)

===== 4) current FREE space on candidate targets =====
    /mnt/wd_black    size=932G used=688G FREE=245G (74%)
    /mnt/btrfs_disk  size=895G used=426G FREE=468G (48%)
    /                size=928G used=284G FREE=641G (31%)

===== 5) VERDICT (does it fit as-is?) =====
    HEAVY needs ~18 GiB; /mnt/wd_black free ~244 GiB -> FITS
    LIGHT needs ~101 GiB; /mnt/btrfs_disk free ~467 GiB -> FITS

    NOTE: keep ~10-15% headroom on each drive (SSD/btrfs perform worse when near-full).
    If either DOES NOT FIT (or leaves <15% headroom), that's the case for the new SATA SSD.
